feature,permutation_auprc_drop_mean,permutation_auprc_drop_std,train_coverage
BIS_EMG__coverage,4.145120392399596e-05,0.00045804142649399194,1.0
MeanAirwayPressure__coverage,3.501670496076266e-05,4.333017395623581e-05,1.0
RR_CO2__std,3.180216634579199e-05,8.755198739896728e-05,0.9935497742420984
PIP__coverage,2.2077448019756455e-05,2.6765675977197254e-05,1.0
EtCO2__coverage,1.1561085964047665e-05,4.3005373644679364e-05,1.0
RR_CO2__coverage,1.0026012540657418e-05,1.9992445786572083e-05,1.0
VentLeak__slope_per_min,8.60348584615552e-06,3.914560657572992e-05,0.8408944313050957
VentLeak__coverage,5.87393884811845e-06,3.637492111166225e-05,1.0
PEEP__coverage,4.292352172156436e-06,4.771468472223593e-05,1.0
PEEP__mean,3.120514044815022e-06,0.000828353366822411,0.9956998494947323
SetRespRate__std,4.5668935882240784e-07,9.332560868359131e-07,0.9903246613631477
MAP__coverage,0.0,0.0,1.0
HR__coverage,0.0,0.0,1.0
SpO2__coverage,-4.4920916959142094e-07,1.954220449060124e-06,1.0
FiO2__coverage,-7.883216835498826e-07,4.2459856766386437e-07,1.0
FeO2__coverage,-2.096331646724477e-06,5.987568063349509e-05,1.0
PlateauPressure__coverage,-4.042291776518159e-06,6.053411494694863e-06,1.0
InCO2__coverage,-9.41181514640584e-06,3.640308377267936e-05,1.0
RR_CO2__slope_per_min,-2.1298179925322015e-05,3.455624632160605e-05,0.9924747366157816
MAP__slope_per_min,-2.4458719587661103e-05,0.0009984790043488787,1.0
SpO2__slope_per_min,-2.8309767182251496e-05,2.862024259620262e-05,0.9952698344442056
MeanAirwayPressure__slope_per_min,-2.9765792537739257e-05,8.61177867134038e-05,0.8396043861535154
BIS_SQI__coverage,-3.628063471453983e-05,0.00012609496998200128,1.0
MinuteVolume__coverage,-4.2108530088506385e-05,4.0801462784786835e-05,1.0
SetTidalVolume__slope_per_min,-4.379259316701356e-05,9.32989082835612e-05,0.7886476026660934
Compliance__coverage,-4.68022563598051e-05,7.552536864240253e-05,1.0
TidalVolume__coverage,-5.5487148072504615e-05,6.57901581585438e-05,1.0
MinuteVolume__std,-5.8461191496013885e-05,0.0007788075975988293,0.997204902171576
SetRespRate__slope_per_min,-8.733200010805354e-05,0.0001015093151295014,0.8075682648892711
MAC__slope_per_min,-0.00010440536484387363,5.509084497405816e-05,0.8391743711029886
